dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Board of Revision of Taxes,Total,17,0,2024,Actual,YTD,2024-06-30,17,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Total,159,0,2024,Actual,YTD,2024-06-30,159,City Commissioner's Office,73,City Commissioners
City Council,Total,198,0,2024,Actual,YTD,2024-06-30,198,City Council,01,
City Representative,Total,0,0,2024,Actual,YTD,2024-06-30,0,Office of the City Representative,41,City Rep
City Treasurer,Total,19,0,2024,Actual,YTD,2024-06-30,19,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Total,2,0,2024,Actual,YTD,2024-06-30,2,Civil Service Commission,55,
Commerce,Total,79,0,2024,Actual,YTD,2024-06-30,79,Office of the Director of Commerce,42,Commerce
Finance,Total,126,0,2024,Actual,YTD,2024-06-30,126,Office of the Director of Finance,35,Finance
First Judicial District,Total,2089,0,2024,Actual,YTD,2024-06-30,2089,First Judicial District,84,FJD
Fleet Services,Total,331,0,2024,Actual,YTD,2024-06-30,331,Office of Fleet Management,25,Fleet
Free Library,Total,821,0,2024,Actual,YTD,2024-06-30,821,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Total,34,0,2024,Actual,YTD,2024-06-30,34,Commission on Human Relations,54,Human Relations
Human Services (2),Total,1517,0,2024,Actual,YTD,2024-06-30,1517,Department of Human Services,22,DHS
Labor,Total,36,0,2024,Actual,YTD,2024-06-30,36,Labor,03,
Law,Total,271,0,2024,Actual,YTD,2024-06-30,271,Law Department,44,Law
Licenses & Inspections,Total,358,0,2024,Actual,YTD,2024-06-30,358,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Total,2,0,2024,Actual,YTD,2024-06-30,2,L&I: Board of Building and Standards,29,
L&I-Board of L & | Review,Total,1,0,2024,Actual,YTD,2024-06-30,1,L&I: Board of Review,27,
Managing Director's Office,Total,568,0,2024,Actual,YTD,2024-06-30,568,Managing Director's Office,10,MDO
Mayor's Office,Total,93,0,2024,Actual,YTD,2024-06-30,93,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Total,50,0,2024,Actual,YTD,2024-06-30,50,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Total,10,0,2024,Actual,YTD,2024-06-30,10,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,Total,0,0,2024,Actual,YTD,2024-06-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,Total,268,0,2024,Actual,YTD,2024-06-30,268,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Total,69,0,2024,Actual,YTD,2024-06-30,69,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Total,3,0,2024,Actual,YTD,2024-06-30,3,Office of Children and Families,66,OCF
Office of Homeless Services,Total,150,0,2024,Actual,YTD,2024-06-30,150,Office of Homeless Services,24,OHS
Office of Human Resources,Total,91,0,2024,Actual,YTD,2024-06-30,91,Office of Human Resources,56,OHR
Office of Innovation and Technology,Total,477,0,2024,Actual,YTD,2024-06-30,477,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Total,18,0,2024,Actual,YTD,2024-06-30,18,Office of the Inspector General,48,OIG
Office of Property Assessment,Total,178,0,2024,Actual,YTD,2024-06-30,178,Office of Property Assessment,59,OPA
Office of Sustainability,Total,25,0,2024,Actual,YTD,2024-06-30,25,Office of Sustainability,49,Sustainability
Parks and Recreation,Total,698,0,2024,Actual,YTD,2024-06-30,698,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Total,144,0,2024,Actual,YTD,2024-06-30,144,Department of Planning and Development,72,Planning & Development
Prisons,Total,1266,0,2024,Actual,YTD,2024-06-30,1266,Philadelphia Prison System,23,Prisons
Procurement,Total,36,0,2024,Actual,YTD,2024-06-30,36,Procurement Department,38,Procurement
Public Health,Total,914,0,2024,Actual,YTD,2024-06-30,914,Department of Public Health,14,Public Health
Public Property,Total,125,0,2024,Actual,YTD,2024-06-30,125,Department of Public Property,20,Public Property
Records,Total,55,0,2024,Actual,YTD,2024-06-30,55,Department of Records,31,Records
Register of Wills,Total,64,0,2024,Actual,YTD,2024-06-30,64,Register of Wills,68,
Revenue,Total,527,0,2024,Actual,YTD,2024-06-30,527,Department of Revenue,36,Revenue
Sheriff,Total,318,0,2024,Actual,YTD,2024-06-30,318,Office of the Sheriff,70,Sheriff
Streets,Total,2152,0,2024,Actual,YTD,2024-06-30,2152,Streets Department,12,Streets
Water,Total,2022,0,2024,Actual,YTD,2024-06-30,2022,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Total,0,0,2024,Actual,YTD,2024-06-30,0,"Water, Sewer, and Stormwater Rate Board",67,
Police,General,866,5338,2024,Actual,YTD,2024-06-30,6204,Police Department,11,Police
Police,Other,6,103,2024,Actual,YTD,2024-06-30,109,Police Department,11,Police
Police,Total,872,5441,2024,Actual,YTD,2024-06-30,6313,Police Department,11,Police
Fire,General,135,2680,2024,Actual,YTD,2024-06-30,2815,Fire Department,13,Fire
Fire,Other,1,71,2024,Actual,YTD,2024-06-30,72,Fire Department,13,Fire
Fire,Total,136,2751,2024,Actual,YTD,2024-06-30,2887,Fire Department,13,Fire
District Attorney,General,530,33,2024,Actual,YTD,2024-06-30,563,District Attorney's Office,69,DAO
District Attorney,Other,109,5,2024,Actual,YTD,2024-06-30,114,District Attorney's Office,69,DAO
District Attorney,Total,639,38,2024,Actual,YTD,2024-06-30,677,District Attorney's Office,69,DAO
Auditing (City Controller's Office),General,110,0,2023,Actual,Full Year,2023-06-30,110,City Controller's Office,61,
Aviation (1),General,0,0,2023,Actual,Full Year,2023-06-30,0,Division of Aviation,43,Aviation
Board of Ethics,General,10,0,2023,Actual,Full Year,2023-06-30,10,Board of Ethics,45,
Board of Pensions,General,0,0,2023,Actual,Full Year,2023-06-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,15,0,2023,Actual,Full Year,2023-06-30,15,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,146,0,2023,Actual,Full Year,2023-06-30,146,City Commissioner's Office,73,City Commissioners
City Council,General,164,0,2023,Actual,Full Year,2023-06-30,164,City Council,01,
City Representative,General,0,0,2023,Actual,Full Year,2023-06-30,0,Office of the City Representative,41,City Rep
City Treasurer,General,20,0,2023,Actual,Full Year,2023-06-30,20,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2023,Actual,Full Year,2023-06-30,2,Civil Service Commission,55,
Commerce,General,53,0,2023,Actual,Full Year,2023-06-30,53,Office of the Director of Commerce,42,Commerce
Finance,General,121,0,2023,Actual,Full Year,2023-06-30,121,Office of the Director of Finance,35,Finance
First Judicial District,General,1685,0,2023,Actual,Full Year,2023-06-30,1685,First Judicial District,84,FJD
Fleet Services,General,266,0,2023,Actual,Full Year,2023-06-30,266,Office of Fleet Management,25,Fleet
Free Library,General,764,0,2023,Actual,Full Year,2023-06-30,764,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,30,0,2023,Actual,Full Year,2023-06-30,30,Commission on Human Relations,54,Human Relations
Human Services (2),General,535,0,2023,Actual,Full Year,2023-06-30,535,Department of Human Services,22,DHS
Labor,General,34,0,2023,Actual,Full Year,2023-06-30,34,Labor,03,
Law,General,193,0,2023,Actual,Full Year,2023-06-30,193,Law Department,44,Law
Licenses & Inspections,General,329,0,2023,Actual,Full Year,2023-06-30,329,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2023,Actual,Full Year,2023-06-30,1,L&I: Board of Building and Standards,29,
L&I-Board of L & | Review,General,2,0,2023,Actual,Full Year,2023-06-30,2,L&I: Board of Review,27,
Managing Director's Office,General,387,0,2023,Actual,Full Year,2023-06-30,387,Managing Director's Office,10,MDO
Mayor's Office,General,53,0,2023,Actual,Full Year,2023-06-30,53,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2023,Actual,Full Year,2023-06-30,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,9,0,2023,Actual,Full Year,2023-06-30,9,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,General,0,0,2023,Actual,Full Year,2023-06-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,General,44,0,2023,Actual,Full Year,2023-06-30,44,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,73,0,2023,Actual,Full Year,2023-06-30,73,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,General,5,0,2023,Actual,Full Year,2023-06-30,5,Office of Children and Families,66,OCF
Office of Homeless Services,General,113,0,2023,Actual,Full Year,2023-06-30,113,Office of Homeless Services,24,OHS
Office of Human Resources,General,82,0,2023,Actual,Full Year,2023-06-30,82,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,349,0,2023,Actual,Full Year,2023-06-30,349,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,18,0,2023,Actual,Full Year,2023-06-30,18,Office of the Inspector General,48,OIG
Office of Property Assessment,General,182,0,2023,Actual,Full Year,2023-06-30,182,Office of Property Assessment,59,OPA
Office of Sustainability,General,18,0,2023,Actual,Full Year,2023-06-30,18,Office of Sustainability,49,Sustainability
Parks and Recreation,General,678,0,2023,Actual,Full Year,2023-06-30,678,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,General,66,0,2023,Actual,Full Year,2023-06-30,66,Department of Planning and Development,72,Planning & Development
Prisons,General,1312,0,2023,Actual,Full Year,2023-06-30,1312,Philadelphia Prison System,23,Prisons
Procurement,General,36,0,2023,Actual,Full Year,2023-06-30,36,Procurement Department,38,Procurement
Public Health,General,690,0,2023,Actual,Full Year,2023-06-30,690,Department of Public Health,14,Public Health
Public Property,General,119,0,2023,Actual,Full Year,2023-06-30,119,Department of Public Property,20,Public Property
Records,General,53,0,2023,Actual,Full Year,2023-06-30,53,Department of Records,31,Records
Register of Wills,General,63,0,2023,Actual,Full Year,2023-06-30,63,Register of Wills,68,
Revenue,General,327,0,2023,Actual,Full Year,2023-06-30,327,Department of Revenue,36,Revenue
Sheriff,General,328,0,2023,Actual,Full Year,2023-06-30,328,Office of the Sheriff,70,Sheriff
Streets,General,2068,0,2023,Actual,Full Year,2023-06-30,2068,Streets Department,12,Streets
Water,General,0,0,2023,Actual,Full Year,2023-06-30,0,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",General,0,0,2023,Actual,Full Year,2023-06-30,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Other,0,0,2023,Actual,Full Year,2023-06-30,0,City Controller's Office,61,
Aviation (1),Other,0,0,2023,Actual,Full Year,2023-06-30,0,Division of Aviation,43,Aviation
Board of Ethics,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Board of Ethics,45,
Board of Pensions,Other,57,0,2023,Actual,Full Year,2023-06-30,57,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,0,0,2023,Actual,Full Year,2023-06-30,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2023,Actual,Full Year,2023-06-30,0,City Council,01,
City Representative,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Office of the City Representative,41,City Rep
City Treasurer,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Civil Service Commission,55,
Commerce,Other,637,0,2023,Actual,Full Year,2023-06-30,637,Office of the Director of Commerce,42,Commerce
Finance,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Office of the Director of Finance,35,Finance
First Judicial District,Other,404,0,2023,Actual,Full Year,2023-06-30,404,First Judicial District,84,FJD
Fleet Services,Other,61,0,2023,Actual,Full Year,2023-06-30,61,Office of Fleet Management,25,Fleet
Free Library,Other,6,0,2023,Actual,Full Year,2023-06-30,6,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Commission on Human Relations,54,Human Relations
Human Services (2),Other,893,0,2023,Actual,Full Year,2023-06-30,893,Department of Human Services,22,DHS
Labor,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Labor,03,
Law,Other,46,0,2023,Actual,Full Year,2023-06-30,46,Law Department,44,Law
Licenses & Inspections,Other,8,0,2023,Actual,Full Year,2023-06-30,8,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Other,0,0,2023,Actual,Full Year,2023-06-30,0,L&I: Board of Building and Standards,29,
L&I-Board of L & | Review,Other,0,0,2023,Actual,Full Year,2023-06-30,0,L&I: Board of Review,27,
Managing Director's Office,Other,103,0,2023,Actual,Full Year,2023-06-30,103,Managing Director's Office,10,MDO
Mayor's Office,Other,5,0,2023,Actual,Full Year,2023-06-30,5,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Other,28,0,2023,Actual,Full Year,2023-06-30,28,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,Other,0,0,2023,Actual,Full Year,2023-06-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,Other,222,0,2023,Actual,Full Year,2023-06-30,222,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Office of Children and Families,66,OCF
Office of Homeless Services,Other,16,0,2023,Actual,Full Year,2023-06-30,16,Office of Homeless Services,24,OHS
Office of Human Resources,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Office of Human Resources,56,OHR
Office of Innovation and Technology,Other,106,0,2023,Actual,Full Year,2023-06-30,106,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Office of the Inspector General,48,OIG
Office of Property Assessment,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Office of Property Assessment,59,OPA
Office of Sustainability,Other,2,0,2023,Actual,Full Year,2023-06-30,2,Office of Sustainability,49,Sustainability
Parks and Recreation,Other,25,0,2023,Actual,Full Year,2023-06-30,25,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Other,62,0,2023,Actual,Full Year,2023-06-30,62,Department of Planning and Development,72,Planning & Development
Prisons,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Philadelphia Prison System,23,Prisons
Procurement,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Procurement Department,38,Procurement
Public Health,Other,168,0,2023,Actual,Full Year,2023-06-30,168,Department of Public Health,14,Public Health
Public Property,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Department of Public Property,20,Public Property
Records,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Department of Records,31,Records
Register of Wills,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Register of Wills,68,
Revenue,Other,170,0,2023,Actual,Full Year,2023-06-30,170,Department of Revenue,36,Revenue
Sheriff,Other,0,0,2023,Actual,Full Year,2023-06-30,0,Office of the Sheriff,70,Sheriff
Streets,Other,2,0,2023,Actual,Full Year,2023-06-30,2,Streets Department,12,Streets
Water,Other,1991,0,2023,Actual,Full Year,2023-06-30,1991,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Other,0,0,2023,Actual,Full Year,2023-06-30,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Total,110,0,2023,Actual,Full Year,2023-06-30,110,City Controller's Office,61,
Aviation (1),Total,0,0,2023,Actual,Full Year,2023-06-30,0,Division of Aviation,43,Aviation
Board of Ethics,Total,10,0,2023,Actual,Full Year,2023-06-30,10,Board of Ethics,45,
Board of Pensions,Total,57,0,2023,Actual,Full Year,2023-06-30,57,Board of Pensions,53,Pensions
Board of Revision of Taxes,Total,15,0,2023,Actual,Full Year,2023-06-30,15,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Total,146,0,2023,Actual,Full Year,2023-06-30,146,City Commissioner's Office,73,City Commissioners
City Council,Total,164,0,2023,Actual,Full Year,2023-06-30,164,City Council,01,
City Representative,Total,0,0,2023,Actual,Full Year,2023-06-30,0,Office of the City Representative,41,City Rep
City Treasurer,Total,20,0,2023,Actual,Full Year,2023-06-30,20,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Total,2,0,2023,Actual,Full Year,2023-06-30,2,Civil Service Commission,55,
Commerce,Total,690,0,2023,Actual,Full Year,2023-06-30,690,Office of the Director of Commerce,42,Commerce
Finance,Total,121,0,2023,Actual,Full Year,2023-06-30,121,Office of the Director of Finance,35,Finance
First Judicial District,Total,2089,0,2023,Actual,Full Year,2023-06-30,2089,First Judicial District,84,FJD
Fleet Services,Total,327,0,2023,Actual,Full Year,2023-06-30,327,Office of Fleet Management,25,Fleet
