full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
17,1396762,66607,2022,Actual,Full Year,City Treasurer,2022-06-30,Office of the City Treasurer,40,City Treasurer
20,1579598,57689,2023,Actual,Full Year,City Treasurer,2023-06-30,Office of the City Treasurer,40,City Treasurer
22,1819025,70000,2024,Adopted Budget,Full Year,City Treasurer,2024-06-30,Office of the City Treasurer,40,City Treasurer
22,1819025,70000,2024,Target Budget,Full Year,City Treasurer,2024-06-30,Office of the City Treasurer,40,City Treasurer
19,1819025,44107,2024,Current Projection,Full Year,City Treasurer,2024-06-30,Office of the City Treasurer,40,City Treasurer
1,140533,0,2021,Actual,Full Year,Civil Service Commission,2021-06-30,Civil Service Commission,55,
2,141474,0,2022,Actual,Full Year,Civil Service Commission,2022-06-30,Civil Service Commission,55,
2,153540,0,2023,Actual,Full Year,Civil Service Commission,2023-06-30,Civil Service Commission,55,
2,183057,0,2024,Adopted Budget,Full Year,Civil Service Commission,2024-06-30,Civil Service Commission,55,
2,183057,0,2024,Target Budget,Full Year,Civil Service Commission,2024-06-30,Civil Service Commission,55,
2,183057,0,2024,Current Projection,Full Year,Civil Service Commission,2024-06-30,Civil Service Commission,55,
37,2499341,0,2021,Actual,Full Year,Commerce,2021-06-30,Office of the Director of Commerce,42,Commerce
35,2601371,0,2022,Actual,Full Year,Commerce,2022-06-30,Office of the Director of Commerce,42,Commerce
53,3614784,0,2023,Actual,Full Year,Commerce,2023-06-30,Office of the Director of Commerce,42,Commerce
80,5767611,10000,2024,Adopted Budget,Full Year,Commerce,2024-06-30,Office of the Director of Commerce,42,Commerce
80,5767611,500,2024,Target Budget,Full Year,Commerce,2024-06-30,Office of the Director of Commerce,42,Commerce
58,5767611,60,2024,Current Projection,Full Year,Commerce,2024-06-30,Office of the Director of Commerce,42,Commerce
521,38421902,141860,2021,Actual,Full Year,District Attorney,2021-06-30,District Attorney's Office,69,DAO
503,39764411,169371,2022,Actual,Full Year,District Attorney,2022-06-30,District Attorney's Office,69,DAO
573,43824953,169935,2023,Actual,Full Year,District Attorney,2023-06-30,District Attorney's Office,69,DAO
605,46912929,185000,2024,Adopted Budget,Full Year,District Attorney,2024-06-30,District Attorney's Office,69,DAO
605,49912929,185000,2024,Target Budget,Full Year,District Attorney,2024-06-30,District Attorney's Office,69,DAO
563,49912929,344572,2024,Current Projection,Full Year,District Attorney,2024-06-30,District Attorney's Office,69,DAO
119,9293924,128747,2021,Actual,Full Year,Finance,2021-06-30,Office of the Director of Finance,35,Finance
122,9986109,125778,2022,Actual,Full Year,Finance,2022-06-30,Office of the Director of Finance,35,Finance
121,10658385,117808,2023,Actual,Full Year,Finance,2023-06-30,Office of the Director of Finance,35,Finance
139,11795202,145000,2024,Adopted Budget,Full Year,Finance,2024-06-30,Office of the Director of Finance,35,Finance
139,11795202,145000,2024,Target Budget,Full Year,Finance,2024-06-30,Office of the Director of Finance,35,Finance
126,11795202,117757,2024,Current Projection,Full Year,Finance,2024-06-30,Office of the Director of Finance,35,Finance
0,2167137,0,2021,Actual,Full Year,Finance Reg #32 Disability,2021-06-30,Finance: Reg #32,35-R32,
0,2497028,0,2022,Actual,Full Year,Finance Reg #32 Disability,2022-06-30,Finance: Reg #32,35-R32,
0,4334997,0,2023,Actual,Full Year,Finance Reg #32 Disability,2023-06-30,Finance: Reg #32,35-R32,
0,5200000,0,2024,Adopted Budget,Full Year,Finance Reg #32 Disability,2024-06-30,Finance: Reg #32,35-R32,
0,5200000,0,2024,Target Budget,Full Year,Finance Reg #32 Disability,2024-06-30,Finance: Reg #32,35-R32,
0,5200000,0,2024,Current Projection,Full Year,Finance Reg #32 Disability,2024-06-30,Finance: Reg #32,35-R32,
2678,318512653,62597682,2021,Actual,Full Year,Fire,2021-06-30,Fire Department,13,Fire
2667,341171247,68452340,2022,Actual,Full Year,Fire,2022-06-30,Fire Department,13,Fire
2794,354132093,72511849,2023,Actual,Full Year,Fire,2023-06-30,Fire Department,13,Fire
3392,365611225,76560145,2024,Adopted Budget,Full Year,Fire,2024-06-30,Fire Department,13,Fire
3072,365611225,76560145,2024,Target Budget,Full Year,Fire,2024-06-30,Fire Department,13,Fire
2815,365611225,73644720,2024,Current Projection,Full Year,Fire,2024-06-30,Fire Department,13,Fire
1773,102667998,12832,2021,Actual,Full Year,First Judicial District,2021-06-30,First Judicial District,84,FJD
1686,101924504,14688,2022,Actual,Full Year,First Judicial District,2022-06-30,First Judicial District,84,FJD
1685,102223039,67109,2023,Actual,Full Year,First Judicial District,2023-06-30,First Judicial District,84,FJD
1720,116833778,96540,2024,Adopted Budget,Full Year,First Judicial District,2024-06-30,First Judicial District,84,FJD
1720,116833778,96540,2024,Target Budget,Full Year,First Judicial District,2024-06-30,First Judicial District,84,FJD
1707,116833778,70166,2024,Current Projection,Full Year,First Judicial District,2024-06-30,First Judicial District,84,FJD
268,17982245,1413920,2021,Actual,Full Year,Fleet Services,2021-06-30,Office of Fleet Management,25,Fleet
266,18075554,1986852,2022,Actual,Full Year,Fleet Services,2022-06-30,Office of Fleet Management,25,Fleet
266,19228085,3123330,2023,Actual,Full Year,Fleet Services,2023-06-30,Office of Fleet Management,25,Fleet
319,21146675,3076391,2024,Adopted Budget,Full Year,Fleet Services,2024-06-30,Office of Fleet Management,25,Fleet
319,21146675,3076391,2024,Target Budget,Full Year,Fleet Services,2024-06-30,Office of Fleet Management,25,Fleet
269,21146675,3011839,2024,Current Projection,Full Year,Fleet Services,2024-06-30,Office of Fleet Management,25,Fleet
634,36056416,325884,2021,Actual,Full Year,Free Library,2021-06-30,The Free Library of Philadelphia,52,Free Library
618,37737788,587443,2022,Actual,Full Year,Free Library,2022-06-30,The Free Library of Philadelphia,52,Free Library
764,39779422,1128594,2023,Actual,Full Year,Free Library,2023-06-30,The Free Library of Philadelphia,52,Free Library
1009,59121703,2757000,2024,Adopted Budget,Full Year,Free Library,2024-06-30,The Free Library of Philadelphia,52,Free Library
909,59121703,2757000,2024,Target Budget,Full Year,Free Library,2024-06-30,The Free Library of Philadelphia,52,Free Library
814,59121703,1485124,2024,Current Projection,Full Year,Free Library,2024-06-30,The Free Library of Philadelphia,52,Free Library
32,2267083,4569,2021,Actual,Full Year,Human Relations Commission,2021-06-30,Commission on Human Relations,54,Human Relations
32,2286733,0,2022,Actual,Full Year,Human Relations Commission,2022-06-30,Commission on Human Relations,54,Human Relations
30,2340114,0,2023,Actual,Full Year,Human Relations Commission,2023-06-30,Commission on Human Relations,54,Human Relations
34,2646469,0,2024,Adopted Budget,Full Year,Human Relations Commission,2024-06-30,Commission on Human Relations,54,Human Relations
34,2646469,0,2024,Target Budget,Full Year,Human Relations Commission,2024-06-30,Commission on Human Relations,54,Human Relations
34,2646469,0,2024,Current Projection,Full Year,Human Relations Commission,2024-06-30,Commission on Human Relations,54,Human Relations
492,28025714,3324490,2021,Actual,Full Year,Human Services,2021-06-30,Department of Human Services,22,DHS
492,28716422,4080821,2022,Actual,Full Year,Human Services,2022-06-30,Department of Human Services,22,DHS
535,32334996,5077010,2023,Actual,Full Year,Human Services,2023-06-30,Department of Human Services,22,DHS
538,37396767,4250462,2024,Adopted Budget,Full Year,Human Services,2024-06-30,Department of Human Services,22,DHS
538,37396767,4250462,2024,Target Budget,Full Year,Human Services,2024-06-30,Department of Human Services,22,DHS
441,37396767,5164489,2024,Current Projection,Full Year,Human Services,2024-06-30,Department of Human Services,22,DHS
26,1991712,59,2021,Actual,Full Year,Labor,2021-06-30,Labor,03,
28,2246006,8366,2022,Actual,Full Year,Labor,2022-06-30,Labor,03,
34,2766257,7980,2023,Actual,Full Year,Labor,2023-06-30,Labor,03,
52,4249815,39828,2024,Adopted Budget,Full Year,Labor,2024-06-30,Labor,03,
51,4297992,39828,2024,Target Budget,Full Year,Labor,2024-06-30,Labor,03,
36,4297992,12708,2024,Current Projection,Full Year,Labor,2024-06-30,Labor,03,
127,9640029,6050,2021,Actual,Full Year,Law,2021-06-30,Law Department,44,Law
175,13550079,0,2022,Actual,Full Year,Law,2022-06-30,Law Department,44,Law
193,15665381,70,2023,Actual,Full Year,Law,2023-06-30,Law Department,44,Law
205,16857049,0,2024,Adopted Budget,Full Year,Law,2024-06-30,Law Department,44,Law
215,18357049,425,2024,Target Budget,Full Year,Law,2024-06-30,Law Department,44,Law
223,18357049,311,2024,Current Projection,Full Year,Law,2024-06-30,Law Department,44,Law
372,24779256,845614,2021,Actual,Full Year,Licenses & Inspections,2021-06-30,Department of Licenses and Inspections,26,L&I
346,24295338,1342903,2022,Actual,Full Year,Licenses & Inspections,2022-06-30,Department of Licenses and Inspections,26,L&I
329,24116397,1277430,2023,Actual,Full Year,Licenses & Inspections,2023-06-30,Department of Licenses and Inspections,26,L&I
430,28501910,1011507,2024,Adopted Budget,Full Year,Licenses & Inspections,2024-06-30,Department of Licenses and Inspections,26,L&I
429,28420282,1411507,2024,Target Budget,Full Year,Licenses & Inspections,2024-06-30,Department of Licenses and Inspections,26,L&I
351,28420282,1536134,2024,Current Projection,Full Year,Licenses & Inspections,2024-06-30,Department of Licenses and Inspections,26,L&I
1,85061,0,2021,Actual,Full Year,L&I-Board of Building Standards,2021-06-30,L&I: Board of Building and Standards,29,
1,76786,167,2022,Actual,Full Year,L&I-Board of Building Standards,2022-06-30,L&I: Board of Building and Standards,29,
1,83357,769,2023,Actual,Full Year,L&I-Board of Building Standards,2023-06-30,L&I: Board of Building and Standards,29,
1,86609,0,2024,Adopted Budget,Full Year,L&I-Board of Building Standards,2024-06-30,L&I: Board of Building and Standards,29,
1,86609,1000,2024,Target Budget,Full Year,L&I-Board of Building Standards,2024-06-30,L&I: Board of Building and Standards,29,
2,86609,793,2024,Current Projection,Full Year,L&I-Board of Building Standards,2024-06-30,L&I: Board of Building and Standards,29,
1,118576,0,2021,Actual,Full Year,L&I-Board of L & Review,2021-06-30,L&I: Board of Review,27,
2,134513,2983,2022,Actual,Full Year,L&I-Board of L & Review,2022-06-30,L&I: Board of Review,27,
2,169767,0,2023,Actual,Full Year,L&I-Board of L & Review,2023-06-30,L&I: Board of Review,27,
2,172107,0,2024,Adopted Budget,Full Year,L&I-Board of L & Review,2024-06-30,L&I: Board of Review,27,
2,172107,0,2024,Target Budget,Full Year,L&I-Board of L & Review,2024-06-30,L&I: Board of Review,27,
1,172107,0,2024,Current Projection,Full Year,L&I-Board of L & Review,2024-06-30,L&I: Board of Review,27,
290,28719552,824568,2021,Actual,Full Year,Managing Director's Office,2021-06-30,Managing Director's Office,10,MDO
324,31958314,847036,2022,Actual,Full Year,Managing Director's Office,2022-06-30,Managing Director's Office,10,MDO
387,27997355,1431858,2023,Actual,Full Year,Managing Director's Office,2023-06-30,Managing Director's Office,10,MDO
501,34164896,1226366,2024,Adopted Budget,Full Year,Managing Director's Office,2024-06-30,Managing Director's Office,10,MDO
502,37324896,1626366,2024,Target Budget,Full Year,Managing Director's Office,2024-06-30,Managing Director's Office,10,MDO
475,37324896,1782072,2024,Current Projection,Full Year,Managing Director's Office,2024-06-30,Managing Director's Office,10,MDO
61,5574446,0,2021,Actual,Full Year,Mayor's Office,2021-06-30,Mayor's Office,05,Mayor
60,5673722,0,2022,Actual,Full Year,Mayor's Office,2022-06-30,Mayor's Office,05,Mayor
53,5950965,0,2023,Actual,Full Year,Mayor's Office,2023-06-30,Mayor's Office,05,Mayor
45,5288872,0,2024,Adopted Budget,Full Year,Mayor's Office,2024-06-30,Mayor's Office,05,Mayor
93,7288872,525,2024,Target Budget,Full Year,Mayor's Office,2024-06-30,Mayor's Office,05,Mayor
93,7288872,563,2024,Current Projection,Full Year,Mayor's Office,2024-06-30,Mayor's Office,05,Mayor
0,45000,0,2021,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2021-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
0,44997,0,2022,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2022-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
0,144949,0,2023,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2023-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
20,1547054,0,2024,Adopted Budget,Full Year,Mayor's Office of Community Empowerment and Opportunity,2024-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
20,1547054,0,2024,Target Budget,Full Year,Mayor's Office of Community Empowerment and Opportunity,2024-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
13,1547054,0,2024,Current Projection,Full Year,Mayor's Office of Community Empowerment and Opportunity,2024-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
8,577153,2317,2021,Actual,Full Year,Mural Arts Program,2021-06-30,Mural Arts Program,50,Mural Arts
8,404320,5431,2022,Actual,Full Year,Mural Arts Program,2022-06-30,Mural Arts Program,50,Mural Arts
9,527907,12599,2023,Actual,Full Year,Mural Arts Program,2023-06-30,Mural Arts Program,50,Mural Arts
10,629179,25000,2024,Adopted Budget,Full Year,Mural Arts Program,2024-06-30,Mural Arts Program,50,Mural Arts
10,629179,25000,2024,Target Budget,Full Year,Mural Arts Program,2024-06-30,Mural Arts Program,50,Mural Arts
10,629179,12869,2024,Current Projection,Full Year,Mural Arts Program,2024-06-30,Mural Arts Program,50,Mural Arts
23,1546510,7582,2021,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2021-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
30,1818626,40229,2022,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2022-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
44,3114848,152495,2023,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2023-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
53,3661271,310000,2024,Adopted Budget,Full Year,Office of Behavioral Health and Intellectual disAbility,2024-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
53,3661271,310000,2024,Target Budget,Full Year,Office of Behavioral Health and Intellectual disAbility,2024-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
44,3661271,277403,2024,Current Projection,Full Year,Office of Behavioral Health and Intellectual disAbility,2024-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
59,4005063,443,2021,Actual,Full Year,Office of the Chief Administrative Officer,2021-06-30,Office of the Chief Administrative Officer,65,CAO
75,4457677,1342,2022,Actual,Full Year,Office of the Chief Administrative Officer,2022-06-30,Office of the Chief Administrative Officer,65,CAO
73,6108879,42720,2023,Actual,Full Year,Office of the Chief Administrative Officer,2023-06-30,Office of the Chief Administrative Officer,65,CAO
76,5749903,58198,2024,Adopted Budget,Full Year,Office of the Chief Administrative Officer,2024-06-30,Office of the Chief Administrative Officer,65,CAO
81,6044903,58198,2024,Target Budget,Full Year,Office of the Chief Administrative Officer,2024-06-30,Office of the Chief Administrative Officer,65,CAO
69,6044903,16283,2024,Current Projection,Full Year,Office of the Chief Administrative Officer,2024-06-30,Office of the Chief Administrative Officer,65,CAO
3,418820,0,2021,Actual,Full Year,Office of Children and Families,2021-06-30,Office of Children and Families,66,OCF
2,377938,0,2022,Actual,Full Year,Office of Children and Families,2022-06-30,Office of Children and Families,66,OCF
5,502591,0,2023,Actual,Full Year,Office of Children and Families,2023-06-30,Office of Children and Families,66,OCF
3,481098,0,2024,Adopted Budget,Full Year,Office of Children and Families,2024-06-30,Office of Children and Families,66,OCF
3,481098,0,2024,Target Budget,Full Year,Office of Children and Families,2024-06-30,Office of Children and Families,66,OCF
3,481098,0,2024,Current Projection,Full Year,Office of Children and Families,2024-06-30,Office of Children and Families,66,OCF
127,7600652,314954,2021,Actual,Full Year,Office of Homeless Services,2021-06-30,Office of Homeless Services,24,OHS
114,9151392,120570,2022,Actual,Full Year,Office of Homeless Services,2022-06-30,Office of Homeless Services,24,OHS
113,8252751,88977,2023,Actual,Full Year,Office of Homeless Services,2023-06-30,Office of Homeless Services,24,OHS
149,10635985,204099,2024,Adopted Budget,Full Year,Office of Homeless Services,2024-06-30,Office of Homeless Services,24,OHS
149,9785985,204099,2024,Target Budget,Full Year,Office of Homeless Services,2024-06-30,Office of Homeless Services,24,OHS
129,9785985,228883,2024,Current Projection,Full Year,Office of Homeless Services,2024-06-30,Office of Homeless Services,24,OHS
75,5133178,81009,2021,Actual,Full Year,Office of Human Resources,2021-06-30,Office of Human Resources,56,OHR
73,5230335,94206,2022,Actual,Full Year,Office of Human Resources,2022-06-30,Office of Human Resources,56,OHR
82,5488289,111909,2023,Actual,Full Year,Office of Human Resources,2023-06-30,Office of Human Resources,56,OHR
96,6509982,155391,2024,Adopted Budget,Full Year,Office of Human Resources,2024-06-30,Office of Human Resources,56,OHR
96,6509982,155391,2024,Target Budget,Full Year,Office of Human Resources,2024-06-30,Office of Human Resources,56,OHR
91,6509982,51435,2024,Current Projection,Full Year,Office of Human Resources,2024-06-30,Office of Human Resources,56,OHR
313,24142550,350274,2021,Actual,Full Year,Office of Innovation and Technology,2021-06-30,Office of Innovation and Technology,04,OIT
300,25739873,579803,2022,Actual,Full Year,Office of Innovation and Technology,2022-06-30,Office of Innovation and Technology,04,OIT
349,28225382,754167,2023,Actual,Full Year,Office of Innovation and Technology,2023-06-30,Office of Innovation and Technology,04,OIT
398,33474871,837500,2024,Adopted Budget,Full Year,Office of Innovation and Technology,2024-06-30,Office of Innovation and Technology,04,OIT
398,33474871,837500,2024,Target Budget,Full Year,Office of Innovation and Technology,2024-06-30,Office of Innovation and Technology,04,OIT
369,33474871,798132,2024,Current Projection,Full Year,Office of Innovation and Technology,2024-06-30,Office of Innovation and Technology,04,OIT
18,1283300,0,2021,Actual,Full Year,Office of the Inspector General,2021-06-30,Office of the Inspector General,48,OIG
16,1414649,0,2022,Actual,Full Year,Office of the Inspector General,2022-06-30,Office of the Inspector General,48,OIG
18,1524854,0,2023,Actual,Full Year,Office of the Inspector General,2023-06-30,Office of the Inspector General,48,OIG
26,2238188,0,2024,Adopted Budget,Full Year,Office of the Inspector General,2024-06-30,Office of the Inspector General,48,OIG
26,2213188,0,2024,Target Budget,Full Year,Office of the Inspector General,2024-06-30,Office of the Inspector General,48,OIG
18,2213188,0,2024,Current Projection,Full Year,Office of the Inspector General,2024-06-30,Office of the Inspector General,48,OIG
190,13393546,42002,2021,Actual,Full Year,Office of Property Assessment,2021-06-30,Office of Property Assessment,59,OPA
177,13638652,107053,2022,Actual,Full Year,Office of Property Assessment,2022-06-30,Office of Property Assessment,59,OPA
182,13454091,164817,2023,Actual,Full Year,Office of Property Assessment,2023-06-30,Office of Property Assessment,59,OPA
226,16021562,140000,2024,Adopted Budget,Full Year,Office of Property Assessment,2024-06-30,Office of Property Assessment,59,OPA
226,16021562,200000,2024,Target Budget,Full Year,Office of Property Assessment,2024-06-30,Office of Property Assessment,59,OPA
178,16021562,275671,2024,Current Projection,Full Year,Office of Property Assessment,2024-06-30,Office of Property Assessment,59,OPA
8,484422,0,2021,Actual,Full Year,Office of Sustainability,2021-06-30,Office of Sustainability,49,Sustainability
11,842041,480,2022,Actual,Full Year,Office of Sustainability,2022-06-30,Office of Sustainability,49,Sustainability
18,1148398,23,2023,Actual,Full Year,Office of Sustainability,2023-06-30,Office of Sustainability,49,Sustainability
23,1511901,0,2024,Adopted Budget,Full Year,Office of Sustainability,2024-06-30,Office of Sustainability,49,Sustainability
26,1729529,0,2024,Target Budget,Full Year,Office of Sustainability,2024-06-30,Office of Sustainability,49,Sustainability
23,1729529,450,2024,Current Projection,Full Year,Office of Sustainability,2024-06-30,Office of Sustainability,49,Sustainability
644,42876919,2083704,2021,Actual,Full Year,Parks and Recreation,2021-06-30,Department of Parks and Recreation,16,Parks & Recreation
613,51586651,4101277,2022,Actual,Full Year,Parks and Recreation,2022-06-30,Department of Parks and Recreation,16,Parks & Recreation
678,56440606,5408222,2023,Actual,Full Year,Parks and Recreation,2023-06-30,Department of Parks and Recreation,16,Parks & Recreation
945,65706117,5835950,2024,Adopted Budget,Full Year,Parks and Recreation,2024-06-30,Department of Parks and Recreation,16,Parks & Recreation
795,63862117,5815650,2024,Target Budget,Full Year,Parks and Recreation,2024-06-30,Department of Parks and Recreation,16,Parks & Recreation
680,63862117,5165951,2024,Current Projection,Full Year,Parks and Recreation,2024-06-30,Department of Parks and Recreation,16,Parks & Recreation
55,4510200,9507,2021,Actual,Full Year,Planning and Development,2021-06-30,Department of Planning and Development,72,Planning & Development
54,4756995,22401,2022,Actual,Full Year,Planning and Development,2022-06-30,Department of Planning and Development,72,Planning & Development
66,5252008,24704,2023,Actual,Full Year,Planning and Development,2023-06-30,Department of Planning and Development,72,Planning & Development
83,7031654,6000,2024,Adopted Budget,Full Year,Planning and Development,2024-06-30,Department of Planning and Development,72,Planning & Development
83,7031654,33000,2024,Target Budget,Full Year,Planning and Development,2024-06-30,Department of Planning and Development,72,Planning & Development
78,7031654,42877,2024,Current Projection,Full Year,Planning and Development,2024-06-30,Department of Planning and Development,72,Planning & Development
6869,708324818,64896010,2021,Actual,Full Year,Police,2021-06-30,Police Department,11,Police
6651,727678591,76002003,2022,Actual,Full Year,Police,2022-06-30,Police Department,11,Police
6351,761129391,96768961,2023,Actual,Full Year,Police,2023-06-30,Police Department,11,Police
7483,800086615,114777062,2024,Adopted Budget,Full Year,Police,2024-06-30,Police Department,11,Police
6733,800086615,117777062,2024,Target Budget,Full Year,Police,2024-06-30,Police Department,11,Police
6204,800086615,103679134,2024,Current Projection,Full Year,Police,2024-06-30,Police Department,11,Police
1620,118472913,24602298,2021,Actual,Full Year,Prisons,2021-06-30,Philadelphia Prison System,23,Prisons
1393,118473913,29907097,2022,Actual,Full Year,Prisons,2022-06-30,Philadelphia Prison System,23,Prisons
1312,118891418,33336433,2023,Actual,Full Year,Prisons,2023-06-30,Philadelphia Prison System,23,Prisons
2186,172050282,38235000,2024,Adopted Budget,Full Year,Prisons,2024-06-30,Philadelphia Prison System,23,Prisons
1436,172050282,38235000,2024,Target Budget,Full Year,Prisons,2024-06-30,Philadelphia Prison System,23,Prisons
1266,172050282,34393603,2024,Current Projection,Full Year,Prisons,2024-06-30,Philadelphia Prison System,23,Prisons
35,2434690,11124,2021,Actual,Full Year,Procurement,2021-06-30,Procurement Department,38,Procurement
35,2665060,1962,2022,Actual,Full Year,Procurement,2022-06-30,Procurement Department,38,Procurement
36,2585104,1738,2023,Actual,Full Year,Procurement,2023-06-30,Procurement Department,38,Procurement
54,3612226,0,2024,Adopted Budget,Full Year,Procurement,2024-06-30,Procurement Department,38,Procurement
54,3612226,4000,2024,Target Budget,Full Year,Procurement,2024-06-30,Procurement Department,38,Procurement
36,3612226,7017,2024,Current Projection,Full Year,Procurement,2024-06-30,Procurement Department,38,Procurement
716,58289725,2319808,2021,Actual,Full Year,Public Health,2021-06-30,Department of Public Health,14,Public Health
689,60210880,2434412,2022,Actual,Full Year,Public Health,2022-06-30,Department of Public Health,14,Public Health
690,60916653,2703650,2023,Actual,Full Year,Public Health,2023-06-30,Department of Public Health,14,Public Health
864,69046910,2199917,2024,Adopted Budget,Full Year,Public Health,2024-06-30,Department of Public Health,14,Public Health
764,69296910,2999917,2024,Target Budget,Full Year,Public Health,2024-06-30,Department of Public Health,14,Public Health
730,69296910,3076857,2024,Current Projection,Full Year,Public Health,2024-06-30,Department of Public Health,14,Public Health
142,9847147,195014,2021,Actual,Full Year,Public Property,2021-06-30,Department of Public Property,20,Public Property
133,10124679,228450,2022,Actual,Full Year,Public Property,2022-06-30,Department of Public Property,20,Public Property
119,10279133,602379,2023,Actual,Full Year,Public Property,2023-06-30,Department of Public Property,20,Public Property
176,12395405,729371,2024,Adopted Budget,Full Year,Public Property,2024-06-30,Department of Public Property,20,Public Property
176,12395405,1379371,2024,Target Budget,Full Year,Public Property,2024-06-30,Department of Public Property,20,Public Property
125,12395405,1354761,2024,Current Projection,Full Year,Public Property,2024-06-30,Department of Public Property,20,Public Property
51,2823021,65664,2021,Actual,Full Year,Records,2021-06-30,Department of Records,31,Records
54,3202359,282392,2022,Actual,Full Year,Records,2022-06-30,Department of Records,31,Records
53,3229777,183184,2023,Actual,Full Year,Records,2023-06-30,Department of Records,31,Records
60,3616541,83340,2024,Adopted Budget,Full Year,Records,2024-06-30,Department of Records,31,Records
60,3616541,133340,2024,Target Budget,Full Year,Records,2024-06-30,Department of Records,31,Records
55,3616541,139352,2024,Current Projection,Full Year,Records,2024-06-30,Department of Records,31,Records
