dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Office of Sustainability,842041.0,531464.0,557.0,0.0,0.0,175000.0,0.0,1549062.0,2022,Office of Sustainability,49,Sustainability,49
Office of the Chief Administrative Officer,4457677.0,2351889.0,352885.0,0.0,0.0,0.0,0.0,7162451.0,2022,Office of the Chief Administrative Officer,65,CAO,65
Office of the Inspector General,1414649.0,96909.0,3498.0,0.0,0.0,0.0,0.0,1515056.0,2022,Office of the Inspector General,48,OIG,48
Parks and Recreation,51586651.0,6041127.0,2701834.0,5719817.0,0.0,0.0,0.0,66049429.0,2022,Department of Parks and Recreation,16,Parks & Recreation,16
Planning and Development,4756995.0,5570465.0,73540.0,3000720.0,0.0,0.0,0.0,13401720.0,2022,Department of Planning and Development,72,Planning & Development,72
Police,727678591.0,9597029.0,15008542.0,22663828.0,0.0,0.0,0.0,774947990.0,2022,Police Department,11,Police,11
Prisons,118473913.0,97900257.0,5143403.0,2651971.0,0.0,0.0,0.0,224169544.0,2022,Philadelphia Prison System,23,Prisons,23
Procurement,2665060.0,2312609.0,5389.0,20000.0,0.0,0.0,0.0,5003058.0,2022,Procurement Department,38,Procurement,38
Public Health,60210880.0,86906007.0,5868740.0,24577.0,0.0,923404.0,0.0,153933608.0,2022,Department of Public Health,14,Public Health,14
Public Property,10124679.0,38061186.0,1324367.0,632161.0,0.0,25262470.0,0.0,75404863.0,2022,Department of Public Property,20,Public Property,20
Public Property-SEPTA Subsidy,0.0,91214000.0,0.0,0.0,0.0,0.0,0.0,91214000.0,2022,Public Property: SEPTA Subsidy,20-SS,,20
Public Property-Space Rentals,0.0,27430707.0,0.0,0.0,0.0,0.0,0.0,27430707.0,2022,Public Property: Space Rentals,20-SR,,20
Public Property-Utilities,0.0,24767455.0,0.0,0.0,0.0,0.0,0.0,24767455.0,2022,Public Property: Utilities,20-U,,20
Records,3202359.0,718037.0,136102.0,0.0,0.0,0.0,0.0,4056498.0,2022,Department of Records,31,Records,31
Register of Wills,4221694.0,181769.0,115666.0,0.0,0.0,0.0,0.0,4519129.0,2022,Register of Wills,68,,68
Revenue,20432060.0,1536515.0,702300.0,6489.0,0.0,0.0,0.0,22677364.0,2022,Department of Revenue,36,Revenue,36
Sheriff,26834747.0,811855.0,769426.0,481125.0,0.0,0.0,0.0,28897153.0,2022,Office of the Sheriff,70,Sheriff,70
Sinking Fund Commission (Debt Service),0.0,95750035.0,0.0,0.0,188717560.0,0.0,0.0,284467595.0,2022,Sinking Fund Commission,37,Sinking Fund,37
Streets,99660073.0,5399229.0,14129313.0,15527943.0,0.0,0.0,0.0,134716558.0,2022,Streets Department,12,Streets,12
Streets-Disposal,0.0,55022737.0,0.0,0.0,0.0,0.0,0.0,55022737.0,2022,Streets: Disposal,12-D,,12
Recession Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Finance: Recession Reserve,35-RR,Recession Reserve,35
