dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Planning & Development,34759317,2023,Actual,Full Year,2023-06-30,Department of Planning and Development,72,Planning & Development
Police,829210826,2023,Actual,Full Year,2023-06-30,Police Department,11,Police
Prisons,235170098,2023,Actual,Full Year,2023-06-30,Philadelphia Prison System,23,Prisons
Procurement,6348981,2023,Actual,Full Year,2023-06-30,Procurement Department,38,Procurement
Public Health,132074650,2023,Actual,Full Year,2023-06-30,Department of Public Health,14,Public Health
Public Property,91356854,2023,Actual,Full Year,2023-06-30,Department of Public Property,20,Public Property
Public Property-SEPTA Subsidy,100699000,2023,Actual,Full Year,2023-06-30,Public Property: SEPTA Subsidy,20-SS,
Public Property-Space Rentals,32123081,2023,Actual,Full Year,2023-06-30,Public Property: Space Rentals,20-SR,
Public Property-Utilities,35547994,2023,Actual,Full Year,2023-06-30,Public Property: Utilities,20-U,
Records,4113075,2023,Actual,Full Year,2023-06-30,Department of Records,31,Records
Register of Wills,4734032,2023,Actual,Full Year,2023-06-30,Register of Wills,68,
Revenue,25542833,2023,Actual,Full Year,2023-06-30,Department of Revenue,36,Revenue
Sheriff,31657866,2023,Actual,Full Year,2023-06-30,Office of the Sheriff,70,Sheriff
Sinking Fund Commission (Debt Service),292884815,2023,Actual,Full Year,2023-06-30,Sinking Fund Commission,37,Sinking Fund
Streets-Disposal,57659801,2023,Actual,Full Year,2023-06-30,Streets: Disposal,12-D,
Streets,165847017,2023,Actual,Full Year,2023-06-30,Streets Department,12,Streets
Art Museum Subsidy,535500,2024,Target Budget,YTD,2023-09-30,Art Museum,34,
Auditing (City Controller's Office),2266444,2024,Target Budget,YTD,2023-09-30,City Controller's Office,61,
Board of Ethics,218577,2024,Target Budget,YTD,2023-09-30,Board of Ethics,45,
Board of Revision of Taxes,257449,2024,Target Budget,YTD,2023-09-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),4180395,2024,Target Budget,YTD,2023-09-30,City Commissioner's Office,73,City Commissioners
City Council,4270066,2024,Target Budget,YTD,2023-09-30,City Council,01,
City Treasurer,451799,2024,Target Budget,YTD,2023-09-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,62200,2024,Target Budget,YTD,2023-09-30,Civil Service Commission,55,
Commerce,8282428,2024,Target Budget,YTD,2023-09-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2024,Target Budget,YTD,2023-09-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,13934550,2024,Target Budget,YTD,2023-09-30,Commerce: Economic Stimulus,42-ES,
District Attorney,12686491,2024,Target Budget,YTD,2023-09-30,District Attorney's Office,69,DAO
Finance,15259796,2024,Target Budget,YTD,2023-09-30,Office of the Director of Finance,35,Finance
Finance-Budget Stabilization Reserve,42261000,2024,Target Budget,YTD,2023-09-30,Finance: Budget Stabilization Reserve,35-BSR,
Finance-Disability-Reg #32 Payroll,2107020,2024,Target Budget,YTD,2023-09-30,Finance: Reg #32,35-R32,
Finance-Recession and Inflation Reserve and Reopening,0,2024,Target Budget,YTD,2023-09-30,Finance: Recession Reserve,35-RR,
Finance-Community College Subsidy,51003181,2024,Target Budget,YTD,2023-09-30,Finance: Community College Subsidy,35-CC,
Finance -Employee Benefits,182192730,2024,Target Budget,YTD,2023-09-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,297851,2024,Target Budget,YTD,2023-09-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: COVID-19 Funeral Expense,0,2024,Target Budget,YTD,2023-09-30,Employee Benefits: COVID-19 Funeral Costs,35-COVID,
Employee Benefits: Employee Disability,27200406,2024,Target Budget,YTD,2023-09-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,14594856,2024,Target Budget,YTD,2023-09-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Pension,-7562507,2024,Target Budget,YTD,2023-09-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: FICA,24169503,2024,Target Budget,YTD,2023-09-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,0,2024,Target Budget,YTD,2023-09-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Health / Medical,120294741,2024,Target Budget,YTD,2023-09-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Group Life Insurance,1211625,2024,Target Budget,YTD,2023-09-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Group Legal,1986255,2024,Target Budget,YTD,2023-09-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Tool Allowance,0,2024,Target Budget,YTD,2023-09-30,Employee Benefits: Tool Allowance,35-EB-TA,
Finance-Hero Scholarship Awards,0,2024,Target Budget,YTD,2023-09-30,Finance: Hero Scholarship Awards,35-HA,
Finance-Payment to Housing Trust Fund,30612698,2024,Target Budget,YTD,2023-09-30,Finance: Housing Trust Fund,35-HTF,
Finance-Indemnities A,22838192,2024,Target Budget,YTD,2023-09-30,Finance: Indemnities,35-IN,
Finance-Refunds,454522,2024,Target Budget,YTD,2023-09-30,Finance: Refunds,35-R,
Finance-School District Contribution,70513148,2024,Target Budget,YTD,2023-09-30,Finance: School District Contribution,35-SD,
Finance-Witness Fees,47130,2024,Target Budget,YTD,2023-09-30,Finance: Witness Fees,35-WF,
Fire,86382872,2024,Target Budget,YTD,2023-09-30,Fire Department,13,Fire
First Judicial District,27877997,2024,Target Budget,YTD,2023-09-30,First Judicial District,84,FJD
Fleet Services,24855963,2024,Target Budget,YTD,2023-09-30,Office of Fleet Management,25,Fleet
Fleet Services Vehicle Purchases,12908131,2024,Target Budget,YTD,2023-09-30,Fleet: Vehicle Lease/Purchases,25-V,
Free Library,15608835,2024,Target Budget,YTD,2023-09-30,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,534798,2024,Target Budget,YTD,2023-09-30,Commission on Human Relations,54,Human Relations
Human Services,140565649,2024,Target Budget,YTD,2023-09-30,Department of Human Services,22,DHS
Labor,745584,2024,Target Budget,YTD,2023-09-30,Labor,03,
Law,7332904,2024,Target Budget,YTD,2023-09-30,Law Department,44,Law
Licenses & Inspections,8067100,2024,Target Budget,YTD,2023-09-30,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,20811,2024,Target Budget,YTD,2023-09-30,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,50184,2024,Target Budget,YTD,2023-09-30,L&I: Board of Review,27,
Managing Director-Base,87060651,2024,Target Budget,YTD,2023-09-30,Managing Director's Office,10,MDO
Managing Director-Citizens Police Oversight Commission,345366,2024,Target Budget,YTD,2023-09-30,MDO: Citizens Police Oversight Commission,10-CP,
Managing Director-Defender Association,0,2024,Target Budget,YTD,2023-09-30,MDO: Legal Services,10-LS,
Mayor's Office,1221551,2024,Target Budget,YTD,2023-09-30,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,29000,2024,Target Budget,YTD,2023-09-30,Mayor's Office: Scholarships,05-S,
Mayor's Office-Comm. Empowerment & Opp.,1387346,2024,Target Budget,YTD,2023-09-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,109820,2024,Target Budget,YTD,2023-09-30,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,8763810,2024,Target Budget,YTD,2023-09-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,3980506,2024,Target Budget,YTD,2023-09-30,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,125803,2024,Target Budget,YTD,2023-09-30,Office of Children and Families,66,OCF
Office of Homeless Services,36612506,2024,Target Budget,YTD,2023-09-30,Office of Homeless Services,24,OHS
Office of Human Resources,1588794,2024,Target Budget,YTD,2023-09-30,Office of Human Resources,56,OHR
Office of Innovation and Technology-Base,41560712,2024,Target Budget,YTD,2023-09-30,Office of Innovation and Technology,04,OIT
Office of Innovation and Technology-911,6286182,2024,Target Budget,YTD,2023-09-30,OIT: 911,04-911,
Office of the Inspector General,470318,2024,Target Budget,YTD,2023-09-30,Office of the Inspector General,48,OIG
Office of Property Assessment,3466266,2024,Target Budget,YTD,2023-09-30,Office of Property Assessment,59,OPA
Office of Sustainability,369338,2024,Target Budget,YTD,2023-09-30,Office of Sustainability,49,Sustainability
Parks and Recreation,25977859,2024,Target Budget,YTD,2023-09-30,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,1355384,2024,Target Budget,YTD,2023-09-30,Department of Planning and Development,72,Planning & Development
Police,178985383,2024,Target Budget,YTD,2023-09-30,Police Department,11,Police
Prisons,94632090,2024,Target Budget,YTD,2023-09-30,Philadelphia Prison System,23,Prisons
Procurement,683467,2024,Target Budget,YTD,2023-09-30,Procurement Department,38,Procurement
Public Health,42148239,2024,Target Budget,YTD,2023-09-30,Department of Public Health,14,Public Health
Public Property,38742865,2024,Target Budget,YTD,2023-09-30,Department of Public Property,20,Public Property
Public Property-SEPTA Subsidy,0,2024,Target Budget,YTD,2023-09-30,Public Property: SEPTA Subsidy,20-SS,
Public Property-Space Rentals,35769714,2024,Target Budget,YTD,2023-09-30,Public Property: Space Rentals,20-SR,
Public Property-Utilities,30969696,2024,Target Budget,YTD,2023-09-30,Public Property: Utilities,20-U,
Records,1304178,2024,Target Budget,YTD,2023-09-30,Department of Records,31,Records
Register of Wills,1045239,2024,Target Budget,YTD,2023-09-30,Register of Wills,68,
Revenue,5344310,2024,Target Budget,YTD,2023-09-30,Department of Revenue,36,Revenue
Sheriff,6565376,2024,Target Budget,YTD,2023-09-30,Office of the Sheriff,70,Sheriff
Sinking Fund Commission (Debt Service),166293094,2024,Target Budget,YTD,2023-09-30,Sinking Fund Commission,37,Sinking Fund
Streets-Disposal,10845305,2024,Target Budget,YTD,2023-09-30,Streets: Disposal,12-D,
Streets,21125267,2024,Target Budget,YTD,2023-09-30,Streets Department,12,Streets
Art Museum Subsidy,535500,2024,Actual,YTD,2023-09-30,Art Museum,34,
Auditing (City Controller's Office),2266444,2024,Actual,YTD,2023-09-30,City Controller's Office,61,
Board of Ethics,218577,2024,Actual,YTD,2023-09-30,Board of Ethics,45,
Board of Revision of Taxes,257449,2024,Actual,YTD,2023-09-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),4180395,2024,Actual,YTD,2023-09-30,City Commissioner's Office,73,City Commissioners
City Council,4270066,2024,Actual,YTD,2023-09-30,City Council,01,
City Treasurer,451799,2024,Actual,YTD,2023-09-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,62200,2024,Actual,YTD,2023-09-30,Civil Service Commission,55,
Commerce,8282428,2024,Actual,YTD,2023-09-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2024,Actual,YTD,2023-09-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,13934550,2024,Actual,YTD,2023-09-30,Commerce: Economic Stimulus,42-ES,
District Attorney,12686491,2024,Actual,YTD,2023-09-30,District Attorney's Office,69,DAO
Finance,15259796,2024,Actual,YTD,2023-09-30,Office of the Director of Finance,35,Finance
Finance-Budget Stabilization Reserve,42261000,2024,Actual,YTD,2023-09-30,Finance: Budget Stabilization Reserve,35-BSR,
Finance-Disability-Reg #32 Payroll,2107020,2024,Actual,YTD,2023-09-30,Finance: Reg #32,35-R32,
Finance-Recession and Inflation Reserve and Reopening,0,2024,Actual,YTD,2023-09-30,Finance: Recession Reserve,35-RR,
Finance-Community College Subsidy,51003181,2024,Actual,YTD,2023-09-30,Finance: Community College Subsidy,35-CC,
Finance -Employee Benefits,182192730,2024,Actual,YTD,2023-09-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,297851,2024,Actual,YTD,2023-09-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: COVID-19 Funeral Expense,0,2024,Actual,YTD,2023-09-30,Employee Benefits: COVID-19 Funeral Costs,35-COVID,
Employee Benefits: Employee Disability,27200406,2024,Actual,YTD,2023-09-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,14594856,2024,Actual,YTD,2023-09-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Pension,-7562507,2024,Actual,YTD,2023-09-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: FICA,24169503,2024,Actual,YTD,2023-09-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,0,2024,Actual,YTD,2023-09-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Health / Medical,120294741,2024,Actual,YTD,2023-09-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Group Life Insurance,1211625,2024,Actual,YTD,2023-09-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Group Legal,1986255,2024,Actual,YTD,2023-09-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Tool Allowance,0,2024,Actual,YTD,2023-09-30,Employee Benefits: Tool Allowance,35-EB-TA,
Finance-Hero Scholarship Awards,0,2024,Actual,YTD,2023-09-30,Finance: Hero Scholarship Awards,35-HA,
Finance-Payment to Housing Trust Fund,30612698,2024,Actual,YTD,2023-09-30,Finance: Housing Trust Fund,35-HTF,
Finance-Indemnities A,22838192,2024,Actual,YTD,2023-09-30,Finance: Indemnities,35-IN,
Finance-Refunds,454522,2024,Actual,YTD,2023-09-30,Finance: Refunds,35-R,
Finance-School District Contribution,70513148,2024,Actual,YTD,2023-09-30,Finance: School District Contribution,35-SD,
Finance-Witness Fees,47130,2024,Actual,YTD,2023-09-30,Finance: Witness Fees,35-WF,
Fire,86382872,2024,Actual,YTD,2023-09-30,Fire Department,13,Fire
First Judicial District,27877997,2024,Actual,YTD,2023-09-30,First Judicial District,84,FJD
Fleet Services,24855963,2024,Actual,YTD,2023-09-30,Office of Fleet Management,25,Fleet
Fleet Services Vehicle Purchases,12908131,2024,Actual,YTD,2023-09-30,Fleet: Vehicle Lease/Purchases,25-V,
Free Library,15608835,2024,Actual,YTD,2023-09-30,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,534798,2024,Actual,YTD,2023-09-30,Commission on Human Relations,54,Human Relations
Human Services,140565649,2024,Actual,YTD,2023-09-30,Department of Human Services,22,DHS
Labor,745584,2024,Actual,YTD,2023-09-30,Labor,03,
Law,7332904,2024,Actual,YTD,2023-09-30,Law Department,44,Law
Licenses & Inspections,8067100,2024,Actual,YTD,2023-09-30,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,20811,2024,Actual,YTD,2023-09-30,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,50184,2024,Actual,YTD,2023-09-30,L&I: Board of Review,27,
Managing Director-Base,87060651,2024,Actual,YTD,2023-09-30,Managing Director's Office,10,MDO
Managing Director-Citizens Police Oversight Commission,345366,2024,Actual,YTD,2023-09-30,MDO: Citizens Police Oversight Commission,10-CP,
Managing Director-Defender Association,0,2024,Actual,YTD,2023-09-30,MDO: Legal Services,10-LS,
Mayor's Office,1221551,2024,Actual,YTD,2023-09-30,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,29000,2024,Actual,YTD,2023-09-30,Mayor's Office: Scholarships,05-S,
Mayor's Office-Comm. Empowerment & Opp.,1387346,2024,Actual,YTD,2023-09-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,109820,2024,Actual,YTD,2023-09-30,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,8763810,2024,Actual,YTD,2023-09-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,3980506,2024,Actual,YTD,2023-09-30,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,125803,2024,Actual,YTD,2023-09-30,Office of Children and Families,66,OCF
Office of Homeless Services,36612506,2024,Actual,YTD,2023-09-30,Office of Homeless Services,24,OHS
Office of Human Resources,1588794,2024,Actual,YTD,2023-09-30,Office of Human Resources,56,OHR
Office of Innovation and Technology-Base,41560712,2024,Actual,YTD,2023-09-30,Office of Innovation and Technology,04,OIT
Office of Innovation and Technology-911,6286182,2024,Actual,YTD,2023-09-30,OIT: 911,04-911,
Office of the Inspector General,470318,2024,Actual,YTD,2023-09-30,Office of the Inspector General,48,OIG
Office of Property Assessment,3466266,2024,Actual,YTD,2023-09-30,Office of Property Assessment,59,OPA
Office of Sustainability,369338,2024,Actual,YTD,2023-09-30,Office of Sustainability,49,Sustainability
Parks and Recreation,25977859,2024,Actual,YTD,2023-09-30,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,1355384,2024,Actual,YTD,2023-09-30,Department of Planning and Development,72,Planning & Development
Police,178985383,2024,Actual,YTD,2023-09-30,Police Department,11,Police
Prisons,94632090,2024,Actual,YTD,2023-09-30,Philadelphia Prison System,23,Prisons
Procurement,683467,2024,Actual,YTD,2023-09-30,Procurement Department,38,Procurement
Public Health,42148239,2024,Actual,YTD,2023-09-30,Department of Public Health,14,Public Health
Public Property,38742865,2024,Actual,YTD,2023-09-30,Department of Public Property,20,Public Property
Public Property-SEPTA Subsidy,0,2024,Actual,YTD,2023-09-30,Public Property: SEPTA Subsidy,20-SS,
Public Property-Space Rentals,35769714,2024,Actual,YTD,2023-09-30,Public Property: Space Rentals,20-SR,
Public Property-Utilities,30969696,2024,Actual,YTD,2023-09-30,Public Property: Utilities,20-U,
Records,1304178,2024,Actual,YTD,2023-09-30,Department of Records,31,Records
Register of Wills,1045239,2024,Actual,YTD,2023-09-30,Register of Wills,68,
Revenue,5344310,2024,Actual,YTD,2023-09-30,Department of Revenue,36,Revenue
Sheriff,6565376,2024,Actual,YTD,2023-09-30,Office of the Sheriff,70,Sheriff
Sinking Fund Commission (Debt Service),166293094,2024,Actual,YTD,2023-09-30,Sinking Fund Commission,37,Sinking Fund
Streets-Disposal,10845305,2024,Actual,YTD,2023-09-30,Streets: Disposal,12-D,
Streets,21125267,2024,Actual,YTD,2023-09-30,Streets Department,12,Streets
Art Museum Subsidy,2142000,2024,Adopted Budget,Full Year,2023-09-30,Art Museum,34,
Auditing (City Controller's Office),11148245,2024,Adopted Budget,Full Year,2023-09-30,City Controller's Office,61,
Board of Ethics,1382433,2024,Adopted Budget,Full Year,2023-09-30,Board of Ethics,45,
Board of Revision of Taxes,1192431,2024,Adopted Budget,Full Year,2023-09-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),29117650,2024,Adopted Budget,Full Year,2023-09-30,City Commissioner's Office,73,City Commissioners
City Council,19751418,2024,Adopted Budget,Full Year,2023-09-30,City Council,01,
City Treasurer,5114652,2024,Adopted Budget,Full Year,2023-09-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,13573651,2024,Adopted Budget,Full Year,2023-09-30,Civil Service Commission,55,
Commerce,18545558,2024,Adopted Budget,Full Year,2023-09-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2024,Adopted Budget,Full Year,2023-09-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,16334550,2024,Adopted Budget,Full Year,2023-09-30,Commerce: Economic Stimulus,42-ES,
District Attorney,51119070,2024,Adopted Budget,Full Year,2023-09-30,District Attorney's Office,69,DAO
Finance,52600924,2024,Adopted Budget,Full Year,2023-09-30,Office of the Director of Finance,35,Finance
Finance-Budget Stabilization Reserve,42261000,2024,Adopted Budget,Full Year,2023-09-30,Finance: Budget Stabilization Reserve,35-BSR,
Finance-Disability-Reg #32 Payroll,5200000,2024,Adopted Budget,Full Year,2023-09-30,Finance: Reg #32,35-R32,
Finance-Recession and Inflation Reserve and Reopening,54000000,2024,Adopted Budget,Full Year,2023-09-30,Finance: Recession Reserve,35-RR,
Finance-Community College Subsidy,51003181,2024,Adopted Budget,Full Year,2023-09-30,Finance: Community College Subsidy,35-CC,
Finance -Employee Benefits,1660996026,2024,Adopted Budget,Full Year,2023-09-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,4468204,2024,Adopted Budget,Full Year,2023-09-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: COVID-19 Funeral Expense,0,2024,Adopted Budget,Full Year,2023-09-30,Employee Benefits: COVID-19 Funeral Costs,35-COVID,
Employee Benefits: Employee Disability,96192786,2024,Adopted Budget,Full Year,2023-09-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,135971945,2024,Adopted Budget,Full Year,2023-09-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
