dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Law,Other,43,0,2025,Actual,YTD,2024-09-30,43,Law Department,44,Law
Licenses & Inspections,Other,7,0,2025,Actual,YTD,2024-09-30,7,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Other,0,0,2025,Actual,YTD,2024-09-30,0,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,Other,0,0,2025,Actual,YTD,2024-09-30,0,L&I: Board of Review,27,
Managing Director's Office,Other,96,0,2025,Actual,YTD,2024-09-30,96,Managing Director's Office,10,MDO
Mayor's Office,Other,0,0,2025,Actual,YTD,2024-09-30,0,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Other,36,0,2025,Actual,YTD,2024-09-30,36,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Other,0,0,2025,Actual,YTD,2024-09-30,0,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,Other,224,0,2025,Actual,YTD,2024-09-30,224,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Other,0,0,2025,Actual,YTD,2024-09-30,0,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Other,0,0,2025,Actual,YTD,2024-09-30,0,Office of Children and Families,66,OCF
Office of Homeless Services,Other,18,0,2025,Actual,YTD,2024-09-30,18,Office of Homeless Services,24,OHS
Office of Human Resources,Other,0,0,2025,Actual,YTD,2024-09-30,0,Office of Human Resources,56,OHR
Office of Innovation and Technology,Other,108,0,2025,Actual,YTD,2024-09-30,108,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Other,0,0,2025,Actual,YTD,2024-09-30,0,Office of the Inspector General,48,OIG
Office of Property Assessment,Other,0,0,2025,Actual,YTD,2024-09-30,0,Office of Property Assessment,59,OPA
Office of Sustainability,Other,2,0,2025,Actual,YTD,2024-09-30,2,Office of Sustainability,49,Sustainability
Parks and Recreation,Other,22,0,2025,Actual,YTD,2024-09-30,22,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Other,69,0,2025,Actual,YTD,2024-09-30,69,Department of Planning and Development,72,Planning & Development
Prisons,Other,0,0,2025,Actual,YTD,2024-09-30,0,Philadelphia Prison System,23,Prisons
Procurement,Other,0,0,2025,Actual,YTD,2024-09-30,0,Procurement Department,38,Procurement
Public Health,Other,174,0,2025,Actual,YTD,2024-09-30,174,Department of Public Health,14,Public Health
Public Property,Other,0,0,2025,Actual,YTD,2024-09-30,0,Department of Public Property,20,Public Property
Records,Other,0,0,2025,Actual,YTD,2024-09-30,0,Department of Records,31,Records
Register of Wills,Other,0,0,2025,Actual,YTD,2024-09-30,0,Register of Wills,68,
Revenue,Other,180,0,2025,Actual,YTD,2024-09-30,180,Department of Revenue,36,Revenue
Sheriff,Other,0,0,2025,Actual,YTD,2024-09-30,0,Office of the Sheriff,70,Sheriff
Streets,Other,614,0,2025,Actual,YTD,2024-09-30,614,Streets Department,12,Streets
Water,Other,1992,0,2025,Actual,YTD,2024-09-30,1992,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Other,1,0,2025,Actual,YTD,2024-09-30,1,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Total,105,0,2025,Actual,YTD,2024-09-30,105,City Controller's Office,61,
Aviation (1),Total,639,0,2025,Actual,YTD,2024-09-30,639,Division of Aviation,43,Aviation
Board of Ethics,Total,10,0,2025,Actual,YTD,2024-09-30,10,Board of Ethics,45,
Board of Pensions,Total,58,0,2025,Actual,YTD,2024-09-30,58,Board of Pensions,53,Pensions
Board of Revision of Taxes,Total,15,0,2025,Actual,YTD,2024-09-30,15,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Total,142,0,2025,Actual,YTD,2024-09-30,142,City Commissioner's Office,73,City Commissioners
City Council,Total,172,0,2025,Actual,YTD,2024-09-30,172,City Council,01,
City Treasurer,Total,19,0,2025,Actual,YTD,2024-09-30,19,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Total,2,0,2025,Actual,YTD,2024-09-30,2,Civil Service Commission,55,
Commerce,Total,77,0,2025,Actual,YTD,2024-09-30,77,Office of the Director of Commerce,42,Commerce
Finance,Total,126,0,2025,Actual,YTD,2024-09-30,126,Office of the Director of Finance,35,Finance
First Judicial District,Total,2086,0,2025,Actual,YTD,2024-09-30,2086,First Judicial District,84,FJD
Fleet Services,Total,331,0,2025,Actual,YTD,2024-09-30,331,Office of Fleet Management,25,Fleet
Free Library,Total,782,0,2025,Actual,YTD,2024-09-30,782,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Total,31,0,2025,Actual,YTD,2024-09-30,31,Commission on Human Relations,54,Human Relations
Human Services (2),Total,1437,0,2025,Actual,YTD,2024-09-30,1437,Department of Human Services,22,DHS
Labor,Total,37,0,2025,Actual,YTD,2024-09-30,37,Labor,03,
Law,Total,246,0,2025,Actual,YTD,2024-09-30,246,Law Department,44,Law
Licenses & Inspections,Total,335,0,2025,Actual,YTD,2024-09-30,335,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Total,1,0,2025,Actual,YTD,2024-09-30,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,Total,2,0,2025,Actual,YTD,2024-09-30,2,L&I: Board of Review,27,
Managing Director's Office,Total,503,0,2025,Actual,YTD,2024-09-30,503,Managing Director's Office,10,MDO
Mayor's Office,Total,39,0,2025,Actual,YTD,2024-09-30,39,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Total,54,0,2025,Actual,YTD,2024-09-30,54,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Total,7,0,2025,Actual,YTD,2024-09-30,7,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,Total,268,0,2025,Actual,YTD,2024-09-30,268,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Total,66,0,2025,Actual,YTD,2024-09-30,66,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Total,4,0,2025,Actual,YTD,2024-09-30,4,Office of Children and Families,66,OCF
Office of Homeless Services,Total,137,0,2025,Actual,YTD,2024-09-30,137,Office of Homeless Services,24,OHS
Office of Human Resources,Total,86,0,2025,Actual,YTD,2024-09-30,86,Office of Human Resources,56,OHR
Office of Innovation and Technology,Total,464,0,2025,Actual,YTD,2024-09-30,464,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Total,22,0,2025,Actual,YTD,2024-09-30,22,Office of the Inspector General,48,OIG
Office of Property Assessment,Total,179,0,2025,Actual,YTD,2024-09-30,179,Office of Property Assessment,59,OPA
Office of Sustainability,Total,21,0,2025,Actual,YTD,2024-09-30,21,Office of Sustainability,49,Sustainability
Parks and Recreation,Total,701,0,2025,Actual,YTD,2024-09-30,701,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Total,133,0,2025,Actual,YTD,2024-09-30,133,Department of Planning and Development,72,Planning & Development
Prisons,Total,1277,0,2025,Actual,YTD,2024-09-30,1277,Philadelphia Prison System,23,Prisons
Procurement,Total,37,0,2025,Actual,YTD,2024-09-30,37,Procurement Department,38,Procurement
Public Health,Total,869,0,2025,Actual,YTD,2024-09-30,869,Department of Public Health,14,Public Health
Public Property,Total,141,0,2025,Actual,YTD,2024-09-30,141,Department of Public Property,20,Public Property
Records,Total,53,0,2025,Actual,YTD,2024-09-30,53,Department of Records,31,Records
Register of Wills,Total,67,0,2025,Actual,YTD,2024-09-30,67,Register of Wills,68,
Revenue,Total,495,0,2025,Actual,YTD,2024-09-30,495,Department of Revenue,36,Revenue
Sheriff,Total,321,0,2025,Actual,YTD,2024-09-30,321,Office of the Sheriff,70,Sheriff
Streets,Total,2060,0,2025,Actual,YTD,2024-09-30,2060,Streets Department,12,Streets
Water,Total,1992,0,2025,Actual,YTD,2024-09-30,1992,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Total,1,0,2025,Actual,YTD,2024-09-30,1,"Water, Sewer, and Stormwater Rate Board",67,
Police,General,851,5485,2025,Actual,YTD,2024-09-30,6336,Police Department,11,Police
Police,Other,7,115,2025,Actual,YTD,2024-09-30,122,Police Department,11,Police
Police,Total,858,5600,2025,Actual,YTD,2024-09-30,6458,Police Department,11,Police
Fire,General,138,2664,2025,Actual,YTD,2024-09-30,2802,Fire Department,13,Fire
Fire,Other,1,76,2025,Actual,YTD,2024-09-30,77,Fire Department,13,Fire
Fire,Total,139,2740,2025,Actual,YTD,2024-09-30,2879,Fire Department,13,Fire
District Attorney,General,582,33,2025,Actual,YTD,2024-09-30,615,District Attorney's Office,69,DAO
District Attorney,Other,102,6,2025,Actual,YTD,2024-09-30,108,District Attorney's Office,69,DAO
District Attorney,Total,684,39,2025,Actual,YTD,2024-09-30,723,District Attorney's Office,69,DAO
Auditing (City Controller's Office),General,110,0,2024,Actual,Full Year,2024-06-30,110,City Controller's Office,61,
Aviation (1),General,0,0,2024,Actual,Full Year,2024-06-30,0,Division of Aviation,43,Aviation
Board of Ethics,General,10,0,2024,Actual,Full Year,2024-06-30,10,Board of Ethics,45,
Board of Pensions,General,0,0,2024,Actual,Full Year,2024-06-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,15,0,2024,Actual,Full Year,2024-06-30,15,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,146,0,2024,Actual,Full Year,2024-06-30,146,City Commissioner's Office,73,City Commissioners
City Council,General,164,0,2024,Actual,Full Year,2024-06-30,164,City Council,01,
City Treasurer,General,20,0,2024,Actual,Full Year,2024-06-30,20,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2024,Actual,Full Year,2024-06-30,2,Civil Service Commission,55,
Commerce,General,53,0,2024,Actual,Full Year,2024-06-30,53,Office of the Director of Commerce,42,Commerce
Finance,General,121,0,2024,Actual,Full Year,2024-06-30,121,Office of the Director of Finance,35,Finance
First Judicial District,General,1685,0,2024,Actual,Full Year,2024-06-30,1685,First Judicial District,84,FJD
Fleet Services,General,266,0,2024,Actual,Full Year,2024-06-30,266,Office of Fleet Management,25,Fleet
Free Library,General,764,0,2024,Actual,Full Year,2024-06-30,764,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,30,0,2024,Actual,Full Year,2024-06-30,30,Commission on Human Relations,54,Human Relations
Human Services (2),General,535,0,2024,Actual,Full Year,2024-06-30,535,Department of Human Services,22,DHS
Labor,General,34,0,2024,Actual,Full Year,2024-06-30,34,Labor,03,
Law,General,193,0,2024,Actual,Full Year,2024-06-30,193,Law Department,44,Law
Licenses & Inspections,General,329,0,2024,Actual,Full Year,2024-06-30,329,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2024,Actual,Full Year,2024-06-30,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2024,Actual,Full Year,2024-06-30,2,L&I: Board of Review,27,
Managing Director's Office,General,387,0,2024,Actual,Full Year,2024-06-30,387,Managing Director's Office,10,MDO
Mayor's Office,General,53,0,2024,Actual,Full Year,2024-06-30,53,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2024,Actual,Full Year,2024-06-30,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,9,0,2024,Actual,Full Year,2024-06-30,9,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,General,44,0,2024,Actual,Full Year,2024-06-30,44,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,73,0,2024,Actual,Full Year,2024-06-30,73,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,General,5,0,2024,Actual,Full Year,2024-06-30,5,Office of Children and Families,66,OCF
Office of Homeless Services,General,113,0,2024,Actual,Full Year,2024-06-30,113,Office of Homeless Services,24,OHS
Office of Human Resources,General,82,0,2024,Actual,Full Year,2024-06-30,82,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,349,0,2024,Actual,Full Year,2024-06-30,349,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,18,0,2024,Actual,Full Year,2024-06-30,18,Office of the Inspector General,48,OIG
Office of Property Assessment,General,182,0,2024,Actual,Full Year,2024-06-30,182,Office of Property Assessment,59,OPA
Office of Sustainability,General,18,0,2024,Actual,Full Year,2024-06-30,18,Office of Sustainability,49,Sustainability
Parks and Recreation,General,678,0,2024,Actual,Full Year,2024-06-30,678,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,General,66,0,2024,Actual,Full Year,2024-06-30,66,Department of Planning and Development,72,Planning & Development
Prisons,General,1312,0,2024,Actual,Full Year,2024-06-30,1312,Philadelphia Prison System,23,Prisons
Procurement,General,36,0,2024,Actual,Full Year,2024-06-30,36,Procurement Department,38,Procurement
Public Health,General,690,0,2024,Actual,Full Year,2024-06-30,690,Department of Public Health,14,Public Health
Public Property,General,119,0,2024,Actual,Full Year,2024-06-30,119,Department of Public Property,20,Public Property
Records,General,53,0,2024,Actual,Full Year,2024-06-30,53,Department of Records,31,Records
Register of Wills,General,63,0,2024,Actual,Full Year,2024-06-30,63,Register of Wills,68,
Revenue,General,327,0,2024,Actual,Full Year,2024-06-30,327,Department of Revenue,36,Revenue
Sheriff,General,328,0,2024,Actual,Full Year,2024-06-30,328,Office of the Sheriff,70,Sheriff
Streets,General,2068,0,2024,Actual,Full Year,2024-06-30,2068,Streets Department,12,Streets
Water,General,0,0,2024,Actual,Full Year,2024-06-30,0,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",General,0,0,2024,Actual,Full Year,2024-06-30,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Other,0,0,2024,Actual,Full Year,2024-06-30,0,City Controller's Office,61,
Aviation (1),Other,0,0,2024,Actual,Full Year,2024-06-30,0,Division of Aviation,43,Aviation
Board of Ethics,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Board of Ethics,45,
Board of Pensions,Other,57,0,2024,Actual,Full Year,2024-06-30,57,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,0,0,2024,Actual,Full Year,2024-06-30,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2024,Actual,Full Year,2024-06-30,0,City Council,01,
City Treasurer,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Civil Service Commission,55,
Commerce,Other,637,0,2024,Actual,Full Year,2024-06-30,637,Office of the Director of Commerce,42,Commerce
Finance,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Office of the Director of Finance,35,Finance
First Judicial District,Other,404,0,2024,Actual,Full Year,2024-06-30,404,First Judicial District,84,FJD
Fleet Services,Other,61,0,2024,Actual,Full Year,2024-06-30,61,Office of Fleet Management,25,Fleet
Free Library,Other,6,0,2024,Actual,Full Year,2024-06-30,6,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Commission on Human Relations,54,Human Relations
Human Services (2),Other,893,0,2024,Actual,Full Year,2024-06-30,893,Department of Human Services,22,DHS
Labor,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Labor,03,
Law,Other,46,0,2024,Actual,Full Year,2024-06-30,46,Law Department,44,Law
Licenses & Inspections,Other,8,0,2024,Actual,Full Year,2024-06-30,8,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Other,0,0,2024,Actual,Full Year,2024-06-30,0,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,Other,0,0,2024,Actual,Full Year,2024-06-30,0,L&I: Board of Review,27,
Managing Director's Office,Other,103,0,2024,Actual,Full Year,2024-06-30,103,Managing Director's Office,10,MDO
Mayor's Office,Other,5,0,2024,Actual,Full Year,2024-06-30,5,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Other,28,0,2024,Actual,Full Year,2024-06-30,28,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Mural Arts Program,50,Mural Arts
Office of Behavioral HIth & Intellectual disAbility,Other,222,0,2024,Actual,Full Year,2024-06-30,222,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Office of Children and Families,66,OCF
Office of Homeless Services,Other,16,0,2024,Actual,Full Year,2024-06-30,16,Office of Homeless Services,24,OHS
Office of Human Resources,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Office of Human Resources,56,OHR
Office of Innovation and Technology,Other,106,0,2024,Actual,Full Year,2024-06-30,106,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Office of the Inspector General,48,OIG
Office of Property Assessment,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Office of Property Assessment,59,OPA
Office of Sustainability,Other,2,0,2024,Actual,Full Year,2024-06-30,2,Office of Sustainability,49,Sustainability
Parks and Recreation,Other,25,0,2024,Actual,Full Year,2024-06-30,25,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Other,62,0,2024,Actual,Full Year,2024-06-30,62,Department of Planning and Development,72,Planning & Development
Prisons,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Philadelphia Prison System,23,Prisons
Procurement,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Procurement Department,38,Procurement
Public Health,Other,168,0,2024,Actual,Full Year,2024-06-30,168,Department of Public Health,14,Public Health
Public Property,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Department of Public Property,20,Public Property
Records,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Department of Records,31,Records
Register of Wills,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Register of Wills,68,
Revenue,Other,170,0,2024,Actual,Full Year,2024-06-30,170,Department of Revenue,36,Revenue
Sheriff,Other,0,0,2024,Actual,Full Year,2024-06-30,0,Office of the Sheriff,70,Sheriff
Streets,Other,2,0,2024,Actual,Full Year,2024-06-30,2,Streets Department,12,Streets
Water,Other,1991,0,2024,Actual,Full Year,2024-06-30,1991,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Other,0,0,2024,Actual,Full Year,2024-06-30,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Total,110,0,2024,Actual,Full Year,2024-06-30,110,City Controller's Office,61,
Aviation (1),Total,0,0,2024,Actual,Full Year,2024-06-30,0,Division of Aviation,43,Aviation
Board of Ethics,Total,10,0,2024,Actual,Full Year,2024-06-30,10,Board of Ethics,45,
Board of Pensions,Total,57,0,2024,Actual,Full Year,2024-06-30,57,Board of Pensions,53,Pensions
Board of Revision of Taxes,Total,15,0,2024,Actual,Full Year,2024-06-30,15,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Total,146,0,2024,Actual,Full Year,2024-06-30,146,City Commissioner's Office,73,City Commissioners
City Council,Total,164,0,2024,Actual,Full Year,2024-06-30,164,City Council,01,
City Treasurer,Total,20,0,2024,Actual,Full Year,2024-06-30,20,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Total,2,0,2024,Actual,Full Year,2024-06-30,2,Civil Service Commission,55,
Commerce,Total,690,0,2024,Actual,Full Year,2024-06-30,690,Office of the Director of Commerce,42,Commerce
Finance,Total,121,0,2024,Actual,Full Year,2024-06-30,121,Office of the Director of Finance,35,Finance
First Judicial District,Total,2089,0,2024,Actual,Full Year,2024-06-30,2089,First Judicial District,84,FJD
Fleet Services,Total,327,0,2024,Actual,Full Year,2024-06-30,327,Office of Fleet Management,25,Fleet
Free Library,Total,770,0,2024,Actual,Full Year,2024-06-30,770,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Total,30,0,2024,Actual,Full Year,2024-06-30,30,Commission on Human Relations,54,Human Relations
Human Services (2),Total,1428,0,2024,Actual,Full Year,2024-06-30,1428,Department of Human Services,22,DHS
Labor,Total,34,0,2024,Actual,Full Year,2024-06-30,34,Labor,03,
Law,Total,239,0,2024,Actual,Full Year,2024-06-30,239,Law Department,44,Law
Licenses & Inspections,Total,337,0,2024,Actual,Full Year,2024-06-30,337,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Total,1,0,2024,Actual,Full Year,2024-06-30,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,Total,2,0,2024,Actual,Full Year,2024-06-30,2,L&I: Board of Review,27,
Managing Director's Office,Total,490,0,2024,Actual,Full Year,2024-06-30,490,Managing Director's Office,10,MDO
Mayor's Office,Total,58,0,2024,Actual,Full Year,2024-06-30,58,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Total,28,0,2024,Actual,Full Year,2024-06-30,28,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Total,9,0,2024,Actual,Full Year,2024-06-30,9,Mural Arts Program,50,Mural Arts
