dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Finance-Community College Subsidy,0.0,0.0,0.0,51003181.0,0.0,0.0,0.0,51003181.0,2024,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits,1660996026.0,0.0,0.0,0.0,0.0,0.0,0.0,1660996026.0,2024,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,50000.0,2024,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,49246000.0,0.0,0.0,0.0,49246000.0,2024,Finance: Indemnities,35-IN,,35
Finance-Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2024,Finance: Refunds,35-R,,35
Finance-Reg #32,5200000.0,0.0,0.0,0.0,0.0,0.0,0.0,5200000.0,2024,Finance: Reg #32,35-R32,,35
Finance-School District Contribution,0.0,0.0,0.0,282052590.0,0.0,0.0,0.0,282052590.0,2024,Finance: School District Contribution,35-SD,,35
Finance-Witness Fees,0.0,180094.0,0.0,0.0,0.0,0.0,0.0,180094.0,2024,Finance: Witness Fees,35-WF,,35
Fire,365611225.0,13854729.0,14142530.0,0.0,0.0,7186300.0,0.0,400794784.0,2024,Fire Department,13,Fire,13
First Judicial District,116833778.0,9875191.0,2343461.0,0.0,0.0,0.0,0.0,129052430.0,2024,First Judicial District,84,FJD,84
Fleet Services,21146675.0,6430287.0,27676744.0,0.0,0.0,0.0,0.0,55253706.0,2024,Office of Fleet Management,25,Fleet,25
Fleet Services -Vehicle Lease/Purch.,0.0,0.0,15359245.0,0.0,0.0,0.0,0.0,15359245.0,2024,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,59121703.0,4299722.0,7513098.0,0.0,0.0,0.0,0.0,70934523.0,2024,The Free Library of Philadelphia,52,Free Library,52
Human Relations Commission,2646469.0,71901.0,38031.0,0.0,0.0,0.0,0.0,2756401.0,2024,Commission on Human Relations,54,Human Relations,54
Human Services,37396767.0,180510950.0,1802170.0,0.0,0.0,0.0,0.0,219709887.0,2024,Department of Human Services,22,DHS,22
L&I-Board of Building Standards,86609.0,0.0,0.0,0.0,0.0,0.0,0.0,86609.0,2024,L&I: Board of Building and Standards,29,,29
L&I-Board of L&I Review,172107.0,10436.0,0.0,0.0,0.0,0.0,0.0,182543.0,2024,L&I: Board of Review,27,,27
Labor,4249815.0,497319.0,21420.0,0.0,0.0,0.0,0.0,4768554.0,2024,Labor,03,,03
Law,16857049.0,11813145.0,184676.0,0.0,0.0,0.0,0.0,28854870.0,2024,Law Department,44,Law,44
Licenses & Inspection,28501910.0,14946444.0,809475.0,0.0,0.0,0.0,0.0,44257829.0,2024,Department of Licenses and Inspections,26,L&I,26
Managing Director,31961256.0,147139729.0,3804618.0,4300000.0,0.0,0.0,0.0,187205603.0,2024,Managing Director's Office,10,MDO,10
Managing Director-Citizens Police Oversight Commission,2203640.0,808002.0,12000.0,0.0,0.0,0.0,0.0,3023642.0,2024,MDO: Citizens Police Oversight Commission,10-CP,,10
Managing Director-Defenders Association,0.0,61997780.0,0.0,0.0,0.0,0.0,0.0,61997780.0,2024,MDO: Legal Services,10-LS,,10
Mayor's Office,5288872.0,727680.0,51192.0,0.0,0.0,0.0,0.0,6067744.0,2024,Mayor's Office,05,Mayor,05
Mayor's Office - Scholarships,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,2024,Mayor's Office: Scholarships,05-S,,05
Mural Arts Program,629179.0,3054141.0,0.0,0.0,0.0,0.0,0.0,3683320.0,2024,Mural Arts Program,50,Mural Arts,50
Office of Behavioral Health and Intellectual disAbility,3661271.0,25259177.0,104000.0,0.0,0.0,0.0,0.0,29024448.0,2024,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,15
Office of Children and Families,481098.0,0.0,0.0,0.0,0.0,0.0,0.0,481098.0,2024,Office of Children and Families,66,OCF,66
Office of Community Empowerment and Opportunity,1547054.0,1886857.0,15998.0,0.0,0.0,0.0,0.0,3449909.0,2024,Mayor's Office of Community Empowerment and Opportunity,08,CEO,08
Office of Homeless Services,10635985.0,69544170.0,344127.0,32421.0,0.0,0.0,0.0,80556703.0,2024,Office of Homeless Services,24,OHS,24
Office of Human Resources,6509982.0,6127871.0,72903.0,0.0,0.0,0.0,0.0,12710756.0,2024,Office of Human Resources,56,OHR,56
Office of Innovation and Technology,31866139.0,60080243.0,4469423.0,0.0,0.0,0.0,0.0,96415805.0,2024,Office of Innovation and Technology,04,OIT,04
Office of Innovation and Technology-911,1608732.0,22182390.0,8064399.0,0.0,0.0,0.0,0.0,31855521.0,2024,OIT: 911,04-911,,04
Office of Property Assessment,16021562.0,1926020.0,362600.0,0.0,0.0,0.0,0.0,18310182.0,2024,Office of Property Assessment,59,OPA,59
Office of Sustainability,1511901.0,1286984.0,1000.0,0.0,0.0,175000.0,0.0,2974885.0,2024,Office of Sustainability,49,Sustainability,49
Office of the Chief Administrative Officer,5749903.0,12306088.0,364968.0,0.0,0.0,0.0,0.0,18420959.0,2024,Office of the Chief Administrative Officer,65,CAO,65
Office of the Inspector General,2238188.0,99695.0,8665.0,0.0,0.0,0.0,0.0,2346548.0,2024,Office of the Inspector General,48,OIG,48
Parks and Recreation,65706117.0,8673442.0,3538538.0,1500000.0,0.0,0.0,0.0,79418097.0,2024,Department of Parks and Recreation,16,Parks & Recreation,16
Planning and Development,7031654.0,21756463.0,116305.0,6500000.0,0.0,0.0,0.0,35404422.0,2024,Department of Planning and Development,72,Planning & Development,72
Police,800086615.0,16369164.0,16875982.0,0.0,0.0,22500000.0,0.0,855831761.0,2024,Police Department,11,Police,11
Prisons,172050282.0,111916569.0,7105822.0,1701757.0,0.0,0.0,0.0,292774430.0,2024,Philadelphia Prison System,23,Prisons,23
Procurement,3612226.0,3576628.0,46868.0,0.0,0.0,0.0,0.0,7235722.0,2024,Procurement Department,38,Procurement,38
Public Health,69046910.0,70157457.0,8608549.0,0.0,0.0,923404.0,0.0,148736320.0,2024,Department of Public Health,14,Public Health,14
Public Property,12395405.0,48484992.0,1405461.0,0.0,0.0,33373310.0,0.0,95659168.0,2024,Department of Public Property,20,Public Property,20
Public Property-SEPTA Subsidy,0.0,109567000.0,0.0,0.0,0.0,0.0,0.0,109567000.0,2024,Public Property: SEPTA Subsidy,20-SS,,20
Public Property-Space Rentals,0.0,37448243.0,0.0,0.0,0.0,0.0,0.0,37448243.0,2024,Public Property: Space Rentals,20-SR,,20
Public Property-Utilities,0.0,31162103.0,0.0,0.0,0.0,0.0,0.0,31162103.0,2024,Public Property: Utilities,20-U,,20
Records,3616541.0,804122.0,143758.0,0.0,0.0,0.0,0.0,4564421.0,2024,Department of Records,31,Records,31
Register of Wills,4450243.0,421959.0,152596.0,0.0,0.0,0.0,0.0,5024798.0,2024,Register of Wills,68,,68
Revenue,22626664.0,5158798.0,1069045.0,0.0,0.0,0.0,0.0,28854507.0,2024,Department of Revenue,36,Revenue,36
Sheriff,30232235.0,1347080.0,1287133.0,0.0,0.0,0.0,0.0,32866448.0,2024,Office of the Sheriff,70,Sheriff,70
Sinking Fund Commission (Debt Service),0.0,122585099.0,0.0,0.0,201632422.0,0.0,0.0,324217521.0,2024,Sinking Fund Commission,37,Sinking Fund,37
Streets,90005569.0,5461616.0,12439954.0,53171.0,0.0,0.0,0.0,107960310.0,2024,Streets Department,12,Streets,12
Streets-Disposal,0.0,55178274.0,0.0,0.0,0.0,0.0,0.0,55178274.0,2024,Streets: Disposal,12-D,,12
Recession Reserve,0.0,0.0,0.0,0.0,0.0,0.0,54000000.0,54000000.0,2024,Finance: Recession Reserve,35-RR,Recession Reserve,35
